fishing_event_id,year,month,day,time_deployed,time_retrieved,vessel_id,captain_id,area_swept
308725,2003,7,11,2003-07-11T07:09:00Z,2003-07-11T07:28:00Z,460,351,113448
308726,2003,7,11,2003-07-11T08:13:00Z,2003-07-11T08:34:00Z,460,351,108160
308727,2003,7,11,2003-07-11T09:08:00Z,2003-07-11T09:28:00Z,460,351,133551
308728,2003,7,11,2003-07-11T14:43:00Z,2003-07-11T15:04:00Z,460,351,138890
308696,2003,7,7,2003-07-07T07:09:00Z,2003-07-07T07:28:00Z,460,351,159964
308695,2003,7,6,2003-07-06T21:02:00Z,2003-07-06T21:22:00Z,460,351,122778
308694,2003,7,6,2003-07-06T19:12:00Z,2003-07-06T19:34:00Z,460,351,130133
308693,2003,7,6,2003-07-06T17:59:00Z,2003-07-06T18:21:00Z,460,351,147460
308692,2003,7,6,2003-07-06T16:43:00Z,2003-07-06T17:02:00Z,460,351,127764
308691,2003,7,6,2003-07-06T15:19:00Z,2003-07-06T15:39:00Z,460,351,135135
308690,2003,7,6,2003-07-06T13:27:00Z,2003-07-06T13:49:00Z,460,351,144570
308719,2003,7,9,2003-07-09T13:26:00Z,2003-07-09T13:45:00Z,460,351,142740
308718,2003,7,9,2003-07-09T11:50:00Z,2003-07-09T12:11:00Z,460,351,155136
308717,2003,7,9,2003-07-09T10:40:00Z,2003-07-09T11:00:00Z,460,351,149184
308716,2003,7,9,2003-07-09T08:56:00Z,2003-07-09T09:16:00Z,460,351,149688
308715,2003,7,9,2003-07-09T07:05:00Z,2003-07-09T07:25:00Z,460,351,129930
308713,2003,7,8,2003-07-08T15:38:00Z,2003-07-08T15:57:00Z,460,351,147159
308712,2003,7,8,2003-07-08T14:27:00Z,2003-07-08T14:44:00Z,460,351,136224
308711,2003,7,8,2003-07-08T12:38:00Z,2003-07-08T12:57:00Z,460,351,161352
308710,2003,7,8,2003-07-08T11:01:00Z,2003-07-08T11:21:00Z,460,351,142681
308709,2003,7,8,2003-07-08T09:42:00Z,2003-07-08T10:06:00Z,460,351,167134
308698,2003,7,7,2003-07-07T09:41:00Z,2003-07-07T10:01:00Z,460,351,154328
308676,2003,7,5,2003-07-05T07:50:00Z,2003-07-05T08:11:00Z,460,351,142352
308697,2003,7,7,2003-07-07T08:21:00Z,2003-07-07T08:40:00Z,460,351,147420
308729,2003,7,11,2003-07-11T17:50:00Z,2003-07-11T18:10:00Z,460,351,104550
308708,2003,7,8,2003-07-08T08:08:00Z,2003-07-08T08:30:00Z,460,351,178068
308762,2003,7,15,2003-07-15T14:41:00Z,2003-07-15T15:04:00Z,460,351,145160
308763,2003,7,15,2003-07-15T16:02:00Z,2003-07-15T16:24:00Z,460,351,124236.00000000001
308764,2003,7,15,2003-07-15T17:50:00Z,2003-07-15T18:11:00Z,460,351,162378
308765,2003,7,15,2003-07-15T19:07:00Z,2003-07-15T19:27:00Z,460,351,162110
308747,2003,7,13,2003-07-13T17:39:00Z,2003-07-13T18:00:00Z,460,351,89595
308840,2003,7,26,2003-07-26T12:42:00Z,2003-07-26T13:04:00Z,460,351,148185
308841,2003,7,26,2003-07-26T14:08:00Z,2003-07-26T14:29:00Z,460,351,129535.99999999999
308842,2003,7,26,2003-07-26T15:07:00Z,2003-07-26T15:28:00Z,460,351,133406
308843,2003,7,26,2003-07-26T16:27:00Z,2003-07-26T16:48:00Z,460,351,132860
308844,2003,7,26,2003-07-26T17:59:00Z,2003-07-26T18:19:00Z,460,351,133940
308845,2003,7,26,2003-07-26T19:44:00Z,2003-07-26T20:07:00Z,460,351,118849
308846,2003,7,26,2003-07-26T20:50:00Z,2003-07-26T21:09:00Z,460,351,142265
308847,2003,7,27,2003-07-27T06:51:00Z,2003-07-27T07:12:00Z,460,351,154836
308746,2003,7,13,2003-07-13T16:24:00Z,2003-07-13T16:45:00Z,460,351,121088.00000000001
308745,2003,7,13,2003-07-13T14:25:00Z,2003-07-13T14:45:00Z,460,351,131376
308744,2003,7,13,2003-07-13T12:43:00Z,2003-07-13T13:03:00Z,460,351,132770
308818,2003,7,24,2003-07-24T10:20:00Z,2003-07-24T10:40:00Z,460,351,150062
308819,2003,7,24,2003-07-24T12:14:00Z,2003-07-24T12:33:00Z,460,351,146575
308820,2003,7,24,2003-07-24T13:11:00Z,2003-07-24T13:31:00Z,460,351,133892
308821,2003,7,24,2003-07-24T14:27:00Z,2003-07-24T14:47:00Z,460,351,136451
308822,2003,7,24,2003-07-24T15:18:00Z,2003-07-24T15:39:00Z,460,351,133104
308823,2003,7,24,2003-07-24T16:51:00Z,2003-07-24T17:12:00Z,460,351,133668
308824,2003,7,24,2003-07-24T19:33:00Z,2003-07-24T19:52:00Z,460,351,131835
